IMSI,话单数,短信数,语音时长分钟,上网流量MB,上网时长分钟,平均带宽Kbps,对端号码数,流量4G占比,业务线标识,月份数
908240215577433 ,142.50 ,23.67 ,10.12 ,17.46 ,5090.48 ,67.20 ,7.33 ,0.95 ,2,6
908240215578239 ,26.67 ,18.67 ,57.13 ,0.04 ,8.13 ,83.29 ,8.67 ,1.00 ,2,6
908240215610749 ,6.50 ,2.00 ,3.62 ,0.03 ,4.32 ,122.51 ,3.00 ,1.00 ,2,2
908240215653979 ,15.00 ,3.00 ,4.93 ,0.19 ,0.76 ,2689.94 ,4.00 ,1.00 ,2,2
908240215675773 ,5.50 ,3.33 ,10.19 ,0.06 ,2.10 ,264.75 ,2.25 ,1.00 ,2,4
908240215709587 ,15.00 ,2.00 ,5.42 ,0.85 ,27.23 ,542.43 ,4.00 ,1.00 ,1,1
908240215711331 ,12.17 ,3.17 ,1.38 ,0.01 ,5.04 ,65.43 ,1.00 ,1.00 ,1,6
908240215746043 ,571.83 ,37.25 ,295.56 ,62.42 ,12170.39 ,92.26 ,15.50 ,0.12 ,2,6
908240215770643 ,41.00 ,29.00 ,7.23 ,0.00 ,0.82 ,81.33 ,7.00 ,1.00 ,2,1
908240215775575 ,6.00 ,1.50 ,3.53 ,0.52 ,121.45 ,74.16 ,3.00 ,1.00 ,1,2
908240215797681 ,14.75 ,1.50 ,2.95 ,6.41 ,775.25 ,109.22 ,3.00 ,1.00 ,1,4
908240215804285 ,4.33 ,2.33 ,1.47 ,0.37 ,46.28 ,140.90 ,3.00 ,1.00 ,1,3
908240215805641 ,10.00 ,7.50 ,1.64 ,0.09 ,9.83 ,164.53 ,2.00 ,1.00 ,1,2
908240215812337 ,20.33 ,3.00 ,16.12 ,0.00 ,10.03 ,1.00 ,4.67 ,1.00 ,2,3
908240215839425 ,24.80 ,5.20 ,1.23 ,1.44 ,49.01 ,495.99 ,2.00 ,1.00 ,1,5
908240215872985 ,56.67 ,5.00 ,17.31 ,117.48 ,1468.80 ,1397.83 ,7.00 ,0.13 ,2,3
908240215873311 ,13.40 ,8.00 ,6.48 ,0.66 ,16.23 ,714.19 ,2.20 ,1.00 ,1,5
908240215885601 ,11.67 ,6.00 ,8.49 ,77.48 ,275.00 ,4923.96 ,2.67 ,1.00 ,2,3
908240215891585 ,9.20 ,4.50 ,3.23 ,0.37 ,8.20 ,316.06 ,2.50 ,1.00 ,2,5
908240215894323 ,109.40 ,17.50 ,70.88 ,57.38 ,1089.74 ,688.94 ,17.80 ,0.48 ,2,5
908240215896275 ,6.40 ,5.60 ,0.28 ,0.05 ,1.45 ,3503.26 ,2.00 ,1.00 ,1,5
908240215905345 ,37.60 ,6.75 ,2.05 ,7.46 ,176.83 ,1363.11 ,3.00 ,1.00 ,2,5
908240215908525 ,34.60 ,17.00 ,38.20 ,0.08 ,3.22 ,449.45 ,14.80 ,1.00 ,2,5
908240215908835 ,9.00 ,3.00 ,6.53 ,0.01 ,0.17 ,1529.60 ,4.50 ,1.00 ,2,4
908240215909451 ,152.50 ,5.00 ,9.62 ,172.12 ,3841.35 ,783.05 ,2.00 ,0.94 ,1,2
908240215935523 ,114.17 ,8.67 ,61.22 ,13.44 ,2045.96 ,202.23 ,17.67 ,0.53 ,2,6
908240215940283 ,32.00 ,10.50 ,6.62 ,12.47 ,232.10 ,820.26 ,3.50 ,0.86 ,2,4
908240215959255 ,3.50 ,1.00 ,0.52 ,0.11 ,12.10 ,161.51 ,1.00 ,1.00 ,1,2
908240215971777 ,94.60 ,6.67 ,4.56 ,146.69 ,2362.52 ,1118.49 ,6.00 ,0.76 ,2,5
908240215971993 ,43.33 ,4.00 ,2.60 ,14.93 ,694.59 ,505.63 ,2.50 ,1.00 ,2,3
908240215999031 ,239.00 ,5.00 ,1.96 ,2.83 ,4584.23 ,91.87 ,2.33 ,1.00 ,1,3
908240215999399 ,9.20 ,2.80 ,0.91 ,0.00 ,3.34 ,13.56 ,1.50 ,1.00 ,1,5
908240216126679 ,7.00 ,1.00 ,5.50 ,0.37 ,69.43 ,94.12 ,4.00 ,1.00 ,2,1
908240216239367 ,11.50 ,8.00 ,1.08 ,0.17 ,35.04 ,91.90 ,3.00 ,1.00 ,2,2
908240216408579 ,25.67 ,9.00 ,2.21 ,3.44 ,168.83 ,478.72 ,1.25 ,1.00 ,2,6
908240220063109 ,8.50 ,7.00 ,3.00 ,0.03 ,0.17 ,2921.00 ,2.00 ,1.00 ,1,2
908240220803343 ,388.60 ,3.25 ,0.78 ,0.22 ,6446.86 ,0.61 ,1.00 ,0.73 ,1,5
908240221154453 ,8.00 ,2.67 ,10.65 ,0.16 ,39.25 ,70.28 ,4.00 ,1.00 ,1,3
908240221166165 ,2.60 ,2.20 ,0.30 ,0.07 ,23.82 ,54.83 ,1.00 ,1.00 ,1,5
908240226221557 ,22.17 ,7.83 ,0.65 ,4.86 ,433.63 ,180.24 ,1.00 ,1.00 ,1,6
908240230139601 ,254.00 ,6.00 ,27.57 ,3.62 ,6601.58 ,9.59 ,2.00 ,1.00 ,2,1
908240232002239 ,55.00 ,1.00 ,3.31 ,25.18 ,1516.40 ,290.21 ,4.50 ,1.00 ,2,2
908240232003773 ,30.60 ,2.00 ,35.63 ,9.35 ,158.41 ,5674.91 ,10.80 ,0.99 ,2,5
908240232014685 ,11.00 ,10.67 ,0.17 ,0.95 ,15.32 ,1083.09 ,1.00 ,1.00 ,1,6
908240232016091 ,9.00 ,2.00 ,0.23 ,3.17 ,4.53 ,12228.30 ,1.00 ,0.28 ,1,1
908240232016585 ,14.00 ,1.00 ,0.18 ,3.98 ,97.50 ,713.46 ,1.00 ,0.16 ,1,1
908240232103063 ,89.00 ,1.00 ,2.92 ,29.68 ,1893.03 ,274.02 ,3.00 ,1.00 ,2,1
908240232103893 ,97.00 ,3.00 ,6.98 ,2.65 ,478.15 ,96.87 ,1.00 ,0.27 ,2,1
908240232108067 ,32.67 ,4.50 ,23.44 ,16.69 ,480.84 ,1068.46 ,6.00 ,1.00 ,2,3
908240232109995 ,15.00 ,4.50 ,6.32 ,10.60 ,191.43 ,1885.21 ,3.60 ,1.00 ,2,5
908240232176901 ,4.67 ,1.67 ,1.40 ,0.31 ,1.19 ,2750.47 ,1.67 ,1.00 ,1,3
908240232183265 ,3.00 ,3.00 ,2.30 ,0.00 ,0.32 ,263.32 ,1.00 ,1.00 ,1,3
908240232202445 ,36.50 ,5.00 ,20.84 ,7.15 ,1020.69 ,260.63 ,2.50 ,0.14 ,1,2
908240232212079 ,68.75 ,3.00 ,12.65 ,44.48 ,1984.14 ,453.31 ,6.75 ,0.79 ,2,4
908240232212155 ,14.00 ,8.00 ,2.25 ,0.18 ,1.92 ,1669.36 ,3.00 ,1.00 ,2,1
908240232221501 ,53.60 ,4.33 ,61.94 ,3.78 ,970.07 ,104.65 ,9.80 ,0.71 ,2,5
908240232221917 ,46.50 ,7.50 ,22.53 ,37.82 ,1559.07 ,423.99 ,14.83 ,1.00 ,2,6
908240232221973 ,27.00 ,3.50 ,22.46 ,21.63 ,544.23 ,694.46 ,11.50 ,1.00 ,2,2
908240232240509 ,4.50 ,1.75 ,0.58 ,4.39 ,101.97 ,751.93 ,1.00 ,1.00 ,1,4
908240232276933 ,14.50 ,5.50 ,2.13 ,1.16 ,574.80 ,35.27 ,1.00 ,1.00 ,1,2
908240232285313 ,33.00 ,27.00 ,15.32 ,0.16 ,40.90 ,66.60 ,2.00 ,1.00 ,1,1
908240232289375 ,42.50 ,11.50 ,0.47 ,16.60 ,189.18 ,2516.81 ,2.00 ,0.94 ,2,2
908240232289463 ,24.00 ,16.00 ,1.32 ,3.16 ,42.18 ,1309.23 ,2.00 ,1.00 ,1,2
908240232299033 ,17.83 ,3.80 ,0.10 ,1.35 ,79.08 ,621.18 ,1.00 ,1.00 ,1,6
908240232302971 ,12.00 ,2.00 ,14.00 ,0.33 ,28.33 ,201.22 ,5.00 ,1.00 ,2,1
908240232303809 ,189.20 ,10.00 ,50.38 ,44.87 ,12015.99 ,62.47 ,7.25 ,0.46 ,2,5
908240232306051 ,38.00 ,4.50 ,1.01 ,18.73 ,692.46 ,442.26 ,1.00 ,1.00 ,2,3
908240232306611 ,34.00 ,4.00 ,5.51 ,152.04 ,729.35 ,3643.00 ,1.50 ,0.06 ,2,2
908240232328751 ,35.83 ,8.33 ,23.39 ,1.22 ,188.57 ,233.12 ,11.17 ,0.88 ,2,6
908240232331541 ,87.17 ,5.25 ,70.54 ,25.12 ,2504.17 ,205.92 ,8.67 ,0.60 ,2,6
908240232334417 ,11.00 ,1.00 ,1.40 ,0.10 ,71.72 ,25.08 ,1.00 ,1.00 ,2,1
908240232334579 ,38.00 ,8.50 ,5.57 ,10.00 ,2410.00 ,72.48 ,2.00 ,1.00 ,2,3
908240232334693 ,91.00 ,2.00 ,5.50 ,81.25 ,1264.55 ,1122.91 ,4.00 ,1.00 ,2,1
908240232346473 ,3.50 ,2.50 ,4.92 ,0.00 ,0.05 ,314.00 ,1.00 ,1.00 ,1,2
908240232354783 ,5.50 ,3.00 ,0.57 ,0.00 ,0.10 ,152.83 ,2.00 ,1.00 ,1,2
908240232366265 ,28.00 ,16.00 ,3.48 ,2.06 ,75.07 ,478.60 ,2.00 ,1.00 ,1,1
908240232368635 ,17.83 ,9.50 ,3.62 ,1.88 ,109.98 ,330.86 ,1.50 ,1.00 ,1,6
908240232370221 ,196.50 ,11.17 ,269.92 ,18.70 ,4039.32 ,78.32 ,30.33 ,0.88 ,2,6
908240232380637 ,17.20 ,14.80 ,4.42 ,3.59 ,52.54 ,1274.89 ,1.00 ,0.50 ,1,5
908240232387645 ,13.00 ,7.00 ,2.97 ,6.93 ,45.65 ,2654.41 ,2.00 ,1.00 ,1,1
908240232420047 ,61.50 ,3.80 ,2.22 ,100.12 ,1524.54 ,1259.14 ,2.75 ,1.00 ,2,6
908240232420165 ,26.75 ,4.00 ,7.84 ,2.99 ,986.62 ,43.50 ,2.00 ,1.00 ,2,4
908240232420221 ,22.00 ,19.00 ,3.30 ,9.35 ,143.68 ,790.15 ,1.00 ,0.91 ,2,2
908240232421475 ,95.75 ,7.75 ,15.15 ,13.44 ,1563.20 ,215.54 ,9.00 ,0.91 ,2,4
908240232422097 ,54.00 ,9.50 ,4.10 ,25.10 ,1216.68 ,360.54 ,3.00 ,1.00 ,2,2
908240232425101 ,21.33 ,5.00 ,1.10 ,5.24 ,320.88 ,415.00 ,2.00 ,1.00 ,2,3
908240232425145 ,14.17 ,1.50 ,1.97 ,0.44 ,399.78 ,9.72 ,3.17 ,1.00 ,1,6
908240232426565 ,121.00 ,5.33 ,12.54 ,21.33 ,2894.51 ,384.20 ,7.80 ,0.84 ,2,6
908240232429081 ,19.00 ,6.00 ,6.55 ,9.93 ,433.39 ,567.13 ,4.00 ,1.00 ,2,3
908240232455471 ,27.00 ,22.00 ,5.67 ,0.00 ,0.10 ,158.67 ,1.00 ,1.00 ,1,1
908240232476245 ,100.50 ,7.00 ,8.32 ,51.58 ,384.28 ,2186.75 ,4.00 ,1.00 ,1,2
908240232497435 ,74.25 ,4.67 ,12.70 ,30.73 ,1187.95 ,752.15 ,8.75 ,0.75 ,2,4
908240232498525 ,5.67 ,6.00 ,0.10 ,1.10 ,25.12 ,718.43 ,1.00 ,1.00 ,1,3
908240232499903 ,39.33 ,2.50 ,5.52 ,0.05 ,424.75 ,2.00 ,4.00 ,1.00 ,2,3
908240232500077 ,85.00 ,62.00 ,1.12 ,111.08 ,537.25 ,3613.19 ,3.00 ,1.00 ,2,1
908240232500597 ,9.00 ,3.00 ,29.35 ,0.29 ,2.90 ,1763.37 ,3.00 ,1.00 ,2,1
908240232502183 ,231.50 ,4.50 ,8.68 ,60.65 ,6434.88 ,148.16 ,7.00 ,0.04 ,2,2
908240232514699 ,21.33 ,6.33 ,0.08 ,6.24 ,1074.92 ,101.53 ,1.00 ,1.00 ,1,3
908240232518019 ,169.25 ,16.75 ,52.35 ,46.02 ,3180.74 ,153.57 ,18.50 ,0.98 ,2,4
908240232519895 ,19.00 ,10.00 ,0.10 ,76.73 ,473.30 ,2833.22 ,1.00 ,1.00 ,2,2
908240232520039 ,135.50 ,2.00 ,15.62 ,48.68 ,3437.31 ,309.35 ,1.50 ,0.04 ,2,2
908240232522323 ,12.67 ,6.17 ,44.16 ,0.86 ,10.84 ,777.37 ,3.67 ,1.00 ,2,6
908240232523609 ,156.00 ,7.00 ,23.63 ,234.32 ,4882.08 ,838.77 ,4.00 ,0.26 ,2,1
908240232527047 ,17.40 ,4.00 ,3.59 ,6.79 ,335.09 ,346.09 ,2.60 ,1.00 ,2,5
908240232528523 ,108.25 ,4.33 ,3.60 ,317.48 ,2528.39 ,2357.81 ,1.50 ,1.00 ,2,4
908240232528653 ,9.40 ,4.33 ,3.03 ,2.52 ,12.33 ,2788.06 ,2.75 ,1.00 ,2,5
908240232529241 ,51.33 ,6.50 ,0.94 ,1.91 ,1291.69 ,136.76 ,2.00 ,1.00 ,2,3
908240232530377 ,96.00 ,5.00 ,27.30 ,11.66 ,1673.17 ,121.77 ,9.00 ,0.11 ,2,1
908240232543553 ,9.50 ,8.00 ,2.60 ,0.53 ,0.90 ,10235.07 ,1.00 ,1.00 ,1,2
908240232601383 ,2.00 ,1.67 ,0.87 ,0.02 ,13.72 ,31.19 ,1.00 ,1.00 ,1,4
908240232603359 ,3.50 ,2.00 ,1.43 ,0.06 ,0.88 ,938.67 ,1.00 ,1.00 ,1,6
908240232603853 ,27.00 ,20.00 ,5.85 ,0.04 ,6.13 ,124.10 ,4.00 ,1.00 ,1,1
908240232610353 ,47.20 ,31.40 ,3.60 ,8.69 ,278.15 ,1333.67 ,2.50 ,1.00 ,1,5
908240232615991 ,17.83 ,2.33 ,1.97 ,22.35 ,378.88 ,843.69 ,2.00 ,1.00 ,2,6
908240232616713 ,16.00 ,1.50 ,17.46 ,0.01 ,0.03 ,7836.00 ,10.00 ,1.00 ,2,2
908240232618163 ,3.00 ,2.00 ,1.30 ,2.08 ,22.87 ,1591.56 ,2.00 ,1.00 ,2,2
908240232618701 ,40.00 ,9.00 ,8.50 ,19.36 ,395.10 ,856.49 ,4.00 ,1.00 ,2,1
908240232626647 ,16.33 ,13.00 ,3.02 ,1.32 ,166.99 ,103.49 ,1.50 ,1.00 ,2,3
908240232626649 ,87.00 ,12.00 ,9.10 ,25.41 ,1321.60 ,311.00 ,4.00 ,0.81 ,2,2
908240232626803 ,15.50 ,7.20 ,17.32 ,17.38 ,48.65 ,4927.99 ,2.00 ,1.00 ,2,6
908240232626867 ,13.00 ,8.00 ,22.45 ,0.54 ,5.60 ,1691.07 ,6.00 ,1.00 ,2,4
908240232626949 ,43.75 ,1.67 ,55.70 ,4.41 ,48.75 ,1580.07 ,25.00 ,1.00 ,2,4
908240232627815 ,49.00 ,3.00 ,89.43 ,0.02 ,4.40 ,99.18 ,13.00 ,1.00 ,2,1
908240232637971 ,661.00 ,23.00 ,28.38 ,232.92 ,15012.30 ,271.80 ,14.67 ,1.00 ,2,3
908240232639671 ,42.33 ,3.00 ,17.50 ,19.78 ,1619.17 ,378.82 ,8.50 ,0.63 ,2,6
908240232641979 ,27.50 ,1.00 ,0.17 ,74.30 ,869.68 ,1379.59 ,1.00 ,1.00 ,2,2
908240232643941 ,44.00 ,9.00 ,2.60 ,33.73 ,699.40 ,842.73 ,2.00 ,0.58 ,2,1
908240232644491 ,59.80 ,5.80 ,0.84 ,16.95 ,743.13 ,1107.80 ,1.33 ,1.00 ,2,5
908240232645253 ,13.00 ,4.50 ,4.85 ,57.52 ,568.90 ,1766.84 ,6.00 ,1.00 ,1,2
908240232647075 ,292.00 ,17.25 ,58.72 ,199.58 ,4863.40 ,664.08 ,16.60 ,0.03 ,2,5
908240232647201 ,137.50 ,6.00 ,82.57 ,24.23 ,461.75 ,823.78 ,32.50 ,0.66 ,2,2
908240232659675 ,11.50 ,8.00 ,0.18 ,0.70 ,28.53 ,221.38 ,1.00 ,1.00 ,1,2
908240232673317 ,4.50 ,3.00 ,7.27 ,0.11 ,24.13 ,82.29 ,1.00 ,1.00 ,1,2
908240232676517 ,22.67 ,8.00 ,1.39 ,1.74 ,89.09 ,339.17 ,1.60 ,1.00 ,1,6
908240232683565 ,16.00 ,3.50 ,6.12 ,7.26 ,155.36 ,868.91 ,2.00 ,1.00 ,1,2
908240232703055 ,38.00 ,3.25 ,0.52 ,1.67 ,474.28 ,83.67 ,1.00 ,1.00 ,1,4
908240232709549 ,64.00 ,8.00 ,22.32 ,17.66 ,937.38 ,329.18 ,11.00 ,1.00 ,2,1
908240232710243 ,5.75 ,5.25 ,0.63 ,0.00 ,0.15 ,14.78 ,1.00 ,1.00 ,1,4
908240232725571 ,119.00 ,1.00 ,23.77 ,1359.26 ,4443.15 ,5346.40 ,5.00 ,1.00 ,2,1
908240232725989 ,41.00 ,2.00 ,1.45 ,7.04 ,1250.93 ,98.33 ,2.00 ,1.00 ,2,1
908240232726697 ,76.00 ,15.00 ,18.90 ,37.27 ,788.87 ,825.71 ,7.00 ,0.43 ,2,1
908240232728005 ,8.75 ,8.33 ,2.14 ,19.43 ,30.83 ,11014.17 ,1.33 ,1.00 ,2,4
908240232729481 ,50.67 ,3.00 ,6.48 ,21.63 ,1878.08 ,189.39 ,5.50 ,1.00 ,2,3
908240232730329 ,21.00 ,1.00 ,13.63 ,0.00 ,2.20 ,16.82 ,8.00 ,1.00 ,2,1
908240232755941 ,227.00 ,12.00 ,16.15 ,1031.65 ,6292.27 ,2865.34 ,6.00 ,1.00 ,2,1
908240232755973 ,16.67 ,5.00 ,8.66 ,0.04 ,2.52 ,270.52 ,5.67 ,1.00 ,2,3
908240232758195 ,29.75 ,10.00 ,21.49 ,7.82 ,624.98 ,189.91 ,11.00 ,1.00 ,1,4
908240232759717 ,14.00 ,7.00 ,0.30 ,0.16 ,17.38 ,157.23 ,1.00 ,1.00 ,2,1
908240232772139 ,15.50 ,4.50 ,0.50 ,4.50 ,1117.60 ,70.39 ,1.00 ,1.00 ,1,2
908240232795851 ,22.00 ,10.00 ,3.38 ,5.02 ,408.30 ,215.03 ,2.00 ,1.00 ,1,1
908240232805223 ,104.75 ,10.25 ,17.35 ,107.38 ,2357.85 ,808.02 ,18.25 ,1.00 ,2,4
908240232807745 ,11.00 ,5.50 ,5.10 ,0.34 ,4.22 ,1423.80 ,5.33 ,1.00 ,2,3
908240232808173 ,42.00 ,1.00 ,1.30 ,28.66 ,444.75 ,1126.01 ,1.00 ,1.00 ,2,1
908240232808343 ,14.50 ,1.00 ,2.50 ,1.33 ,359.77 ,97.86 ,5.00 ,0.67 ,1,4
908240232808615 ,7.00 ,1.00 ,0.28 ,0.10 ,8.97 ,198.89 ,1.00 ,1.00 ,2,1
